Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Layoff_Month,Layoff_Quarter,Funding_Status,Layoff_Level
Banxa,Melbourne,Australia,Australia,70.0,2022-06-27,30.0,233.0,163.0,Crypto,Post-Ipo,13.0,2022,-37.814,144.96332,6,2,Yes,Moderate
SafeGraph,San Francisco Bay Area,USA,North America,27.0,2022-06-27,25.0,108.0,81.0,Data,Series B,61.0,2022,37.77493,-122.41942,6,2,Yes,Mild
Bitpanda,Vienna,Austria,Europe,270.0,2022-06-24,27.0,1000.0,730.0,Crypto,Series C,546.0,2022,48.20849,16.37208,6,2,Yes,Heavy
Sunday,Atlanta,USA,North America,90.0,2022-06-24,23.0,391.0,301.0,Finance,Series A,124.0,2022,33.749,-84.38798,6,2,Yes,Moderate
Bestow,Dallas,USA,North America,41.0,2022-06-24,14.0,293.0,252.0,Finance,Series C,137.0,2022,32.78306,-96.80667,6,2,Yes,Mild
Ethos Life,San Francisco Bay Area,USA,North America,40.0,2022-06-24,12.0,333.0,293.0,Finance,Series D,406.0,2022,37.77493,-122.41942,6,2,Yes,Mild
Netflix,San Francisco Bay Area,USA,North America,300.0,2022-06-23,3.0,10000.0,9700.0,Media,Post-Ipo,121900.0,2022,37.22661,-121.97468,6,2,Yes,Heavy
Aura,Boston,USA,North America,70.0,2022-06-23,9.0,778.0,708.0,Security,Series F,500.0,2022,42.35843,-71.05977,6,2,Yes,Moderate
Pipl,Spokane,USA,North America,22.0,2022-06-23,13.0,169.0,147.0,Security,Unknown,19.0,2022,47.65966,-117.42908,6,2,Yes,Mild
Vouch,San Francisco Bay Area,USA,North America,15.0,2022-06-23,7.0,214.0,199.0,Finance,Series C,159.0,2022,37.77493,-122.41942,6,2,Yes,Mild
Voyage SMS,Los Angeles,USA,North America,8.0,2022-06-23,13.0,62.0,54.0,Marketing,Unknown,10.0,2022,34.05223,-118.24368,6,2,Yes,Mild
MasterClass,San Francisco Bay Area,USA,North America,120.0,2022-06-22,20.0,600.0,480.0,Education,Series E,461.0,2022,37.77493,-122.41942,6,2,Yes,Moderate
IronNet,Washington DC,USA,North America,90.0,2022-06-22,35.0,257.0,167.0,Security,Post-Ipo,410.0,2022,38.89511,-77.03637,6,2,Yes,Moderate
IronNet,Washington DC,USA,North America,55.0,2022-06-22,17.0,324.0,269.0,Security,Post-Ipo,410.0,2022,38.89511,-77.03637,6,2,Yes,Moderate
Superpedestrian,Boston,USA,North America,35.0,2022-06-22,7.0,500.0,465.0,Transportation,Series C,261.0,2022,42.35843,-71.05977,6,2,Yes,Mild
Voi,Stockholm,Sweden,Europe,35.0,2022-06-22,10.0,350.0,315.0,Transportation,Series D,515.0,2022,59.32938,18.06871,6,2,Yes,Mild
Ritual,Toronto,Canada,North America,23.0,2022-06-22,16.0,144.0,121.0,Food,Series C,134.0,2022,43.70643,-79.39864,6,2,Yes,Mild
Ebanx,Curitiba,Brazil,South America,340.0,2022-06-21,20.0,1700.0,1360.0,Finance,Series B,460.0,2022,-25.42778,-49.27306,6,2,Yes,Heavy
Community,Los Angeles,USA,North America,40.0,2022-06-21,30.0,133.0,93.0,Marketing,Unknown,40.0,2022,34.05223,-118.24368,6,2,Yes,Mild
Sourcegraph,San Francisco Bay Area,USA,North America,24.0,2022-06-21,8.0,300.0,276.0,Product,Series D,248.0,2022,37.77493,-122.41942,6,2,Yes,Mild
SummerBio,San Francisco Bay Area,USA,North America,101.0,2022-06-20,100.0,101.0,0.0,Healthcare,Unknown,7.0,2022,37.45383,-122.18219,6,2,Yes,Moderate
Trax,Singapore,Singapore,Asia,100.0,2022-06-20,12.0,833.0,733.0,Retail,Series E,1000.0,2022,1.28967,103.85007,6,2,Yes,Moderate
Aqgromalin,Chennai,India,Asia,80.0,2022-06-20,30.0,267.0,187.0,Food,Unknown,12.0,2022,13.08784,80.27847,6,2,Yes,Moderate
Bonsai,Toronto,Canada,North America,30.0,2022-06-20,55.0,55.0,25.0,Retail,Series A,27.0,2022,43.70643,-79.39864,6,2,Yes,Mild
Brighte,Sydney,Australia,Australia,30.0,2022-06-20,15.0,200.0,170.0,Energy,Series C,145.0,2022,-33.86785,151.20732,6,2,Yes,Mild
CityMall,Gurugram,India,Asia,191.0,2022-06-19,30.0,637.0,446.0,Retail,Series C,112.0,2022,28.4601,77.02635,6,2,Yes,Moderate
BitOasis,Dubai,United Arabian Emirates,Asia,9.0,2022-06-19,5.0,180.0,171.0,Crypto,Series B,30.0,2022,25.07725,55.30927,6,2,Yes,Mild
Unacademy,Bengaluru,India,Asia,150.0,2022-06-18,3.0,5000.0,4850.0,Education,Series H,838.0,2022,12.97194,77.59369,6,2,Yes,Moderate
Socure,Reno,USA,North America,69.0,2022-06-17,13.0,531.0,462.0,Finance,Series E,646.0,2022,39.52963,-119.8138,6,2,Yes,Moderate
Finite State,Columbus,USA,North America,16.0,2022-06-17,20.0,80.0,64.0,Security,Series B,49.0,2022,39.96118,-82.99879,6,2,Yes,Mild
JOKR,New York City,USA,North America,50.0,2022-06-16,5.0,1000.0,950.0,Food,Series B,430.0,2022,40.71427,-74.00597,6,2,Yes,Moderate
Zumper,San Francisco Bay Area,USA,North America,45.0,2022-06-16,15.0,300.0,255.0,Real Estate,Series D,178.0,2022,37.77493,-122.41942,6,2,Yes,Mild
Swappie,Helsinki,Finland,Europe,250.0,2022-06-15,17.0,1471.0,1221.0,Retail,Series C,169.0,2022,60.16952,24.93545,6,2,Yes,Heavy
Wealthsimple,Toronto,Canada,North America,159.0,2022-06-15,13.0,1223.0,1064.0,Finance,Unknown,900.0,2022,43.70643,-79.39864,6,2,Yes,Moderate
Weee!,Fremont,USA,North America,150.0,2022-06-15,10.0,1500.0,1350.0,Food,Series E,863.0,2022,33.66946,-117.82311,6,2,Yes,Moderate
Notarize,Boston,USA,North America,110.0,2022-06-15,25.0,440.0,330.0,Legal,Series D,213.0,2022,42.35843,-71.05977,6,2,Yes,Moderate
Tonkean,San Francisco Bay Area,USA,North America,23.0,2022-06-15,23.0,100.0,77.0,Other,Series B,83.0,2022,37.77493,-122.41942,6,2,Yes,Mild
OpenWeb,Tel Aviv,Israel,Asia,14.0,2022-06-15,5.0,280.0,266.0,Media,Series E,223.0,2022,32.08088,34.78057,6,2,Yes,Mild
Swyft,Toronto,Canada,North America,10.0,2022-06-15,30.0,33.0,23.0,Logistics,Series A,20.0,2022,43.70643,-79.39864,6,2,Yes,Mild
Coinbase,San Francisco Bay Area,USA,North America,1100.0,2022-06-14,18.0,6111.0,5011.0,Crypto,Post-Ipo,549.0,2022,37.77493,-122.41942,6,2,Yes,Heavy
Redfin,Seattle,USA,North America,470.0,2022-06-14,8.0,5875.0,5405.0,Real Estate,Post-Ipo,319.0,2022,47.60621,-122.33207,6,2,Yes,Heavy
Compass,New York City,USA,North America,450.0,2022-06-14,10.0,4500.0,4050.0,Real Estate,Post-Ipo,182.0,2022,40.71427,-74.00597,6,2,Yes,Heavy
Sami,Sao Paulo,Brazil,South America,75.0,2022-06-14,15.0,500.0,425.0,Healthcare,Unknown,36.0,2022,-23.5475,-46.63611,6,2,Yes,Moderate
Breathe,New Delhi,India,Asia,50.0,2022-06-14,33.0,152.0,102.0,Healthcare,Series A,6.0,2022,28.65195,77.23149,6,2,Yes,Moderate
TIFIN,Boulder,USA,North America,24.0,2022-06-14,10.0,240.0,216.0,Crypto,Series D,204.0,2022,40.01499,-105.27055,6,2,Yes,Mild
BlockFi,New York City,USA,North America,250.0,2022-06-13,20.0,1250.0,1000.0,Crypto,Series E,1000.0,2022,40.71427,-74.00597,6,2,Yes,Heavy
Wave Sports and Entertainment,Los Angeles,USA,North America,56.0,2022-06-13,33.0,170.0,114.0,Media,Series B,65.0,2022,34.05223,-118.24368,6,2,Yes,Moderate
Studio,San Francisco Bay Area,USA,North America,33.0,2022-06-13,40.0,83.0,50.0,Education,Series B,50.0,2022,37.77493,-122.41942,6,2,Yes,Mild
